Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
27131,Air_India,AI-506,Delhi,Morning,one,Early_Morning,Kolkata,Economy,19.75,40,7366
266857,Vistara,UK-706,Kolkata,Morning,one,Night,Mumbai,Business,9.83,42,64831
141228,Vistara,UK-772,Kolkata,Morning,one,Night,Bangalore,Economy,10.5,41,6195
288329,Vistara,UK-824,Chennai,Night,one,Morning,Delhi,Business,14.5,14,60160
97334,Air_India,AI-501,Bangalore,Afternoon,one,Night,Mumbai,Economy,8.25,20,6578
135931,AirAsia,I5-510,Kolkata,Early_Morning,one,Afternoon,Bangalore,Economy,10.83,5,4555
290630,Vistara,UK-826,Chennai,Afternoon,zero,Afternoon,Mumbai,Business,2.0,7,23838
141944,Indigo,6E-271,Kolkata,Early_Morning,one,Afternoon,Bangalore,Economy,7.75,46,3860
244517,Air_India,AI-619,Mumbai,Night,one,Night,Chennai,Business,26.33,44,32230
215903,Vistara,UK-953,Delhi,Night,one,Evening,Kolkata,Business,20.17,2,76841
282552,Vistara,UK-876,Hyderabad,Night,one,Evening,Bangalore,Business,21.67,42,38099
254237,Air_India,AI-808,Bangalore,Night,one,Afternoon,Kolkata,Business,17.5,23,60508
183617,AirAsia,I5-517,Chennai,Morning,two_or_more,Night,Delhi,Economy,13.5,25,2477
79761,SpiceJet,SG-488,Mumbai,Morning,one,Evening,Chennai,Economy,6.83,19,7220
213925,Vistara,UK-819,Delhi,Afternoon,zero,Evening,Bangalore,Business,2.75,26,32859
233936,Air_India,AI-607,Mumbai,Evening,zero,Evening,Bangalore,Business,1.75,47,20684
98502,Vistara,UK-818,Bangalore,Evening,one,Morning,Mumbai,Economy,14.08,26,7212
96776,AirAsia,I5-741,Bangalore,Morning,one,Night,Mumbai,Economy,10.92,17,7762
228194,Air_India,AI-888,Mumbai,Evening,zero,Night,Delhi,Business,2.25,33,22140
27896,Vistara,UK-811,Delhi,Early_Morning,two_or_more,Evening,Kolkata,Economy,14.0,44,10418
100832,Vistara,UK-897,Bangalore,Early_Morning,one,Night,Mumbai,Economy,15.08,39,4792
242790,Air_India,AI-635,Mumbai,Early_Morning,one,Night,Chennai,Business,16.5,20,49613
151132,Air_India,AI-424,Kolkata,Afternoon,one,Evening,Chennai,Economy,29.5,34,4969
270236,Vistara,UK-706,Kolkata,Morning,one,Evening,Bangalore,Business,8.58,49,60978
208084,Air_India,AI-887,Delhi,Early_Morning,zero,Morning,Mumbai,Business,2.08,15,30092
7707,GO_FIRST,G8-346,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,39,2410
284144,Vistara,UK-870,Hyderabad,Night,one,Night,Kolkata,Business,26.17,26,51819
142308,Vistara,UK-706,Kolkata,Morning,two_or_more,Evening,Bangalore,Economy,9.0,48,7763
402,SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,4,5953
110445,Indigo,6E-6326,Bangalore,Morning,one,Night,Hyderabad,Economy,9.58,9,7021
216833,Vistara,UK-927,Delhi,Morning,one,Evening,Kolkata,Business,10.42,16,59929
216694,Air_India,AI-803,Delhi,Early_Morning,one,Early_Morning,Kolkata,Business,23.08,14,57405
10932,Indigo,6E-772,Delhi,Early_Morning,zero,Morning,Bangalore,Economy,2.92,7,7425
29970,Air_India,AI-839,Delhi,Night,zero,Night,Hyderabad,Economy,2.17,12,5955
154647,GO_FIRST,G8-515,Hyderabad,Morning,one,Night,Delhi,Economy,13.0,20,6132
77065,Air_India,AI-671,Mumbai,Morning,one,Morning,Hyderabad,Economy,24.92,48,3098
265580,Vistara,UK-706,Kolkata,Morning,one,Night,Mumbai,Business,11.75,24,70431
171855,AirAsia,I5-1543,Hyderabad,Afternoon,one,Night,Kolkata,Economy,6.75,13,5291
284403,Vistara,UK-860,Hyderabad,Early_Morning,one,Morning,Kolkata,Business,26.75,31,51819
75131,Vistara,UK-877,Mumbai,Morning,zero,Afternoon,Hyderabad,Economy,1.5,35,3450
14176,Vistara,UK-977,Delhi,Evening,one,Early_Morning,Bangalore,Economy,12.83,22,4896
87277,Indigo,6E-7223,Bangalore,Afternoon,one,Evening,Delhi,Economy,5.17,18,4001
29163,Vistara,UK-951,Delhi,Afternoon,one,Early_Morning,Hyderabad,Economy,17.5,5,9840
66864,SpiceJet,SG-8710,Mumbai,Night,one,Morning,Kolkata,Economy,11.33,31,5818
227316,Air_India,AI-607,Mumbai,Evening,one,Morning,Delhi,Business,16.17,24,53152
95370,Air_India,AI-808,Bangalore,Night,one,Afternoon,Mumbai,Economy,15.83,10,9277
172823,AirAsia,I5-974,Hyderabad,Night,one,Morning,Kolkata,Economy,10.83,21,2056
185140,Vistara,UK-826,Chennai,Afternoon,one,Evening,Delhi,Economy,5.58,34,5206
71716,Vistara,UK-845,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,14.92,12,8988
137722,AirAsia,I5-830,Kolkata,Night,one,Afternoon,Bangalore,Economy,12.75,18,3862
246352,Air_India,AI-640,Bangalore,Early_Morning,one,Night,Delhi,Business,13.67,21,42521
18110,Air_India,AI-441,Delhi,Evening,one,Evening,Bangalore,Economy,24.67,40,4230
172088,GO_FIRST,G8-123,Hyderabad,Early_Morning,zero,Early_Morning,Kolkata,Economy,1.83,15,5292
188544,Air_India,AI-538,Chennai,Night,one,Evening,Mumbai,Economy,23.67,10,23208
151614,Air_India,AI-770,Kolkata,Night,one,Evening,Chennai,Economy,22.5,39,4969
127692,Vistara,UK-738,Kolkata,Evening,one,Morning,Mumbai,Economy,16.42,3,12210
11751,Indigo,6E-6205,Delhi,Afternoon,one,Evening,Bangalore,Economy,5.83,11,9735
166800,Indigo,6E-531,Hyderabad,Early_Morning,one,Afternoon,Bangalore,Economy,9.08,15,4836
198586,AirAsia,I5-557,Chennai,Night,zero,Late_Night,Kolkata,Economy,2.42,11,5043
279839,Air_India,AI-840,Hyderabad,Night,one,Morning,Mumbai,Business,12.25,42,45883
105830,AirAsia,I5-2461,Bangalore,Evening,one,Late_Night,Kolkata,Economy,10.0,24,3393
181043,Vistara,UK-828,Chennai,Early_Morning,one,Evening,Delhi,Economy,12.75,7,11553
70952,Indigo,6E-711,Mumbai,Afternoon,one,Night,Hyderabad,Economy,8.5,6,11613
37906,GO_FIRST,G8-7535,Delhi,Evening,one,Early_Morning,Chennai,Economy,14.67,19,4896
21039,Indigo,6E-7403,Delhi,Early_Morning,one,Afternoon,Kolkata,Economy,5.75,7,9861
244496,Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Chennai,Business,8.83,43,64173
280111,Vistara,UK-870,Hyderabad,Night,one,Evening,Mumbai,Business,22.67,46,53835
